ID,chrom,loc.start,loc.end,seq_length
TCGA-LQ-A4E4-01,1,3218610,34123298,30904688
TCGA-LQ-A4E4-01,1,34127515,70924375,36796860
TCGA-LQ-A4E4-01,1,70924781,70926472,1691
TCGA-LQ-A4E4-01,1,70927078,91949340,21022262
TCGA-LQ-A4E4-01,1,91953305,91968382,15077
TCGA-LQ-A4E4-01,1,91969607,91972884,3277
TCGA-LQ-A4E4-01,1,91981484,92271920,290436
TCGA-LQ-A4E4-01,1,92273473,166910993,74637520
TCGA-LQ-A4E4-01,1,166911149,176134978,9223829
TCGA-LQ-A4E4-01,1,176136273,176136538,265
TCGA-LQ-A4E4-01,1,176144245,179143796,2999551
TCGA-LQ-A4E4-01,1,179149290,183731702,4582412
TCGA-LQ-A4E4-01,1,183732119,210809297,27077178
TCGA-LQ-A4E4-01,1,210809492,210809946,454
TCGA-LQ-A4E4-01,1,210810054,247813706,37003652
TCGA-LQ-A4E4-01,2,484222,104509110,104024888
TCGA-LQ-A4E4-01,2,104511930,104512226,296
TCGA-LQ-A4E4-01,2,104513507,142686802,38173295
TCGA-LQ-A4E4-01,2,142687302,142994328,307026
TCGA-LQ-A4E4-01,2,142994382,153441584,10447202
TCGA-LQ-A4E4-01,2,153443817,153448642,4825
TCGA-LQ-A4E4-01,2,153449322,167211490,13762168
TCGA-LQ-A4E4-01,2,167217173,167217237,64
TCGA-LQ-A4E4-01,2,167218669,209444139,42225470
TCGA-LQ-A4E4-01,2,209448346,209452303,3957
TCGA-LQ-A4E4-01,2,209452512,242476062,33023550
TCGA-LQ-A4E4-01,3,2212571,13012993,10800422
TCGA-LQ-A4E4-01,3,13018263,13018488,225
TCGA-LQ-A4E4-01,3,13018985,71460150,58441165
TCGA-LQ-A4E4-01,3,71462797,71464332,1535
TCGA-LQ-A4E4-01,3,71464335,168967323,97502988
TCGA-LQ-A4E4-01,3,168968258,169457557,489299
TCGA-LQ-A4E4-01,3,169458199,197538677,28080478
TCGA-LQ-A4E4-01,4,1053934,188763651,187709717
TCGA-LQ-A4E4-01,5,914233,10358853,9444620
TCGA-LQ-A4E4-01,5,10362340,11215132,852792
TCGA-LQ-A4E4-01,5,11218488,11526537,308049
TCGA-LQ-A4E4-01,5,11526773,11531390,4617
TCGA-LQ-A4E4-01,5,11534360,111586221,100051861
TCGA-LQ-A4E4-01,5,111586429,111586487,58
TCGA-LQ-A4E4-01,5,111587880,114756455,3168575
TCGA-LQ-A4E4-01,5,114756637,114756821,184
TCGA-LQ-A4E4-01,5,114756862,125882870,11126008
TCGA-LQ-A4E4-01,5,125884874,125884934,60
TCGA-LQ-A4E4-01,5,125884984,126457615,572631
TCGA-LQ-A4E4-01,5,126458126,126458317,191
TCGA-LQ-A4E4-01,5,126463639,131931623,5467984
TCGA-LQ-A4E4-01,5,131934292,132272356,338064
TCGA-LQ-A4E4-01,5,132278074,180360469,48082395
TCGA-LQ-A4E4-01,6,1014281,6935147,5920866
TCGA-LQ-A4E4-01,6,6935350,6936571,1221
TCGA-LQ-A4E4-01,6,6936661,98636375,91699714
TCGA-LQ-A4E4-01,6,98640180,98641374,1194
TCGA-LQ-A4E4-01,6,98641766,126635277,27993511
TCGA-LQ-A4E4-01,6,126636277,126729058,92781
TCGA-LQ-A4E4-01,6,126737304,170903919,44166615
TCGA-LQ-A4E4-01,7,705284,99690690,98985406
TCGA-LQ-A4E4-01,7,99691007,99693552,2545
TCGA-LQ-A4E4-01,7,99695131,158385118,58689987
TCGA-LQ-A4E4-01,8,617667,141542750,140925083
TCGA-LQ-A4E4-01,8,141546724,141547226,502
TCGA-LQ-A4E4-01,8,141549881,145232496,3682615
TCGA-LQ-A4E4-01,9,789932,140938752,140148820
TCGA-LQ-A4E4-01,10,415240,91537082,91121842
TCGA-LQ-A4E4-01,10,91543670,104076318,12532648
TCGA-LQ-A4E4-01,10,104076838,107531578,3454740
TCGA-LQ-A4E4-01,10,107543621,135225087,27681466
TCGA-LQ-A4E4-01,11,456120,11903002,11446882
TCGA-LQ-A4E4-01,11,11903129,11903389,260
TCGA-LQ-A4E4-01,11,11907049,134142530,122235481
TCGA-LQ-A4E4-01,12,889902,133161346,132271444
TCGA-LQ-A4E4-01,13,19450806,27798670,8347864
TCGA-LQ-A4E4-01,13,27800826,27864793,63967
TCGA-LQ-A4E4-01,13,27867501,30714792,2847291
TCGA-LQ-A4E4-01,13,30721364,30800565,79201
TCGA-LQ-A4E4-01,13,30802570,59700677,28898107
TCGA-LQ-A4E4-01,13,59703477,114987458,55283981
TCGA-LQ-A4E4-01,14,20501368,25265961,4764593
TCGA-LQ-A4E4-01,14,25266105,25284005,17900
TCGA-LQ-A4E4-01,14,25288648,81481084,56192436
TCGA-LQ-A4E4-01,14,81481332,81481558,226
TCGA-LQ-A4E4-01,14,81485293,90405573,8920280
TCGA-LQ-A4E4-01,14,90406002,90406653,651
TCGA-LQ-A4E4-01,14,90409353,96589360,6180007
TCGA-LQ-A4E4-01,14,96590183,96592034,1851
TCGA-LQ-A4E4-01,14,96592891,105988038,9395147
TCGA-LQ-A4E4-01,15,23687685,47175240,23487555
TCGA-LQ-A4E4-01,15,47175704,47401493,225789
TCGA-LQ-A4E4-01,15,47406817,59719793,12312976
TCGA-LQ-A4E4-01,15,59723253,59723265,12
TCGA-LQ-A4E4-01,15,59726610,101884307,42157697
TCGA-LQ-A4E4-01,16,653459,8366810,7713351
TCGA-LQ-A4E4-01,16,8394232,8881967,487735
TCGA-LQ-A4E4-01,16,8882652,23618486,14735834
TCGA-LQ-A4E4-01,16,23621566,31850299,8228733
TCGA-LQ-A4E4-01,16,46507665,55687065,9179400
TCGA-LQ-A4E4-01,16,55687212,55695106,7894
TCGA-LQ-A4E4-01,16,55697964,57008728,1310764
TCGA-LQ-A4E4-01,16,57012379,57592253,579874
TCGA-LQ-A4E4-01,16,57593090,57641343,48253
TCGA-LQ-A4E4-01,16,57647395,73074012,15426617
TCGA-LQ-A4E4-01,16,73077574,73077615,41
TCGA-LQ-A4E4-01,16,73079212,86265023,13185811
TCGA-LQ-A4E4-01,16,86304261,86995819,691558
TCGA-LQ-A4E4-01,16,86999890,87003146,3256
TCGA-LQ-A4E4-01,16,87006982,89379936,2372954
TCGA-LQ-A4E4-01,17,987221,19385199,18397978
TCGA-LQ-A4E4-01,17,19386813,25276327,5889514
TCGA-LQ-A4E4-01,17,25282105,41243226,15961121
TCGA-LQ-A4E4-01,17,41243284,53821500,12578216
TCGA-LQ-A4E4-01,17,53829310,59472403,5643093
TCGA-LQ-A4E4-01,17,59481373,80917016,21435643
TCGA-LQ-A4E4-01,18,329586,77109240,76779654
TCGA-LQ-A4E4-01,19,284018,58878226,58594208
TCGA-LQ-A4E4-01,20,455764,14058428,13602664
TCGA-LQ-A4E4-01,20,14072529,14072711,182
TCGA-LQ-A4E4-01,20,14076211,14407727,331516
TCGA-LQ-A4E4-01,20,14408090,62219837,47811747
TCGA-LQ-A4E4-01,21,15347621,43554527,28206906
TCGA-LQ-A4E4-01,21,43557659,43559782,2123
TCGA-LQ-A4E4-01,21,43559902,47678774,4118872
TCGA-LQ-A4E4-01,22,17423930,18470897,1046967
TCGA-LQ-A4E4-01,22,18471852,18515485,43633
TCGA-LQ-A4E4-01,22,18516319,24241611,5725292
TCGA-LQ-A4E4-01,22,24416465,25070067,653602
TCGA-LQ-A4E4-01,22,25074035,25401482,327447
TCGA-LQ-A4E4-01,22,25401948,26008103,606155
TCGA-LQ-A4E4-01,22,26016737,27956405,1939668
TCGA-LQ-A4E4-01,22,27956556,28543072,586516
TCGA-LQ-A4E4-01,22,28548221,28618003,69782
TCGA-LQ-A4E4-01,22,28620541,49331012,20710471
TCGA-LQ-A4E4-01,23,3157107,65417893,62260786
TCGA-LQ-A4E4-01,23,65418789,65420609,1820
TCGA-LQ-A4E4-01,23,65424288,154905589,89481301
TCGA-A2-A3KC-01,1,3218610,115778451,112559841
TCGA-A2-A3KC-01,1,115779088,115986104,207016
TCGA-A2-A3KC-01,1,115990063,117008523,1018460
TCGA-A2-A3KC-01,1,117012399,117333479,321080
TCGA-A2-A3KC-01,1,117337726,117675943,338217
TCGA-A2-A3KC-01,1,117676728,117678959,2231
TCGA-A2-A3KC-01,1,117682716,118583805,901089
TCGA-A2-A3KC-01,1,118586234,118651054,64820
TCGA-A2-A3KC-01,1,118656974,119946151,1289177
TCGA-A2-A3KC-01,1,119946198,120527361,581163
TCGA-A2-A3KC-01,1,149881398,201556370,51674972
TCGA-A2-A3KC-01,1,201560104,217150813,15590709
TCGA-A2-A3KC-01,1,217152015,247813706,30661691
TCGA-A2-A3KC-01,2,484222,242476062,241991840
TCGA-A2-A3KC-01,3,2212571,47352462,45139891
TCGA-A2-A3KC-01,3,47354272,48021846,667574
TCGA-A2-A3KC-01,3,48028683,51416492,3387809
TCGA-A2-A3KC-01,3,51419866,51696064,276198
TCGA-A2-A3KC-01,3,51699485,197538677,145839192
TCGA-A2-A3KC-01,4,1053934,31676985,30623051
TCGA-A2-A3KC-01,4,31678993,31682362,3369
TCGA-A2-A3KC-01,4,31682410,36812680,5130270
TCGA-A2-A3KC-01,4,36813105,36814133,1028
TCGA-A2-A3KC-01,4,36814225,188763651,151949426
TCGA-A2-A3KC-01,5,914233,180360469,179446236
TCGA-A2-A3KC-01,6,1014281,1451582,437301
TCGA-A2-A3KC-01,6,1455487,1455823,336
TCGA-A2-A3KC-01,6,1460032,145967086,144507054
TCGA-A2-A3KC-01,6,145967877,145968288,411
TCGA-A2-A3KC-01,6,145968594,170903919,24935325
TCGA-A2-A3KC-01,7,705284,11975026,11269742
TCGA-A2-A3KC-01,7,11975718,12098696,122978
TCGA-A2-A3KC-01,7,12106966,158385118,146278152
TCGA-A2-A3KC-01,8,617667,145232496,144614829
TCGA-A2-A3KC-01,9,789932,140938752,140148820
TCGA-A2-A3KC-01,10,415240,135225087,134809847
TCGA-A2-A3KC-01,11,456120,49830092,49373972
TCGA-A2-A3KC-01,11,49831631,49841256,9625
TCGA-A2-A3KC-01,11,49845325,50047230,201905
TCGA-A2-A3KC-01,11,50050722,57784307,7733585
TCGA-A2-A3KC-01,11,57786017,57919308,133291
TCGA-A2-A3KC-01,11,57920464,63182660,5262196
TCGA-A2-A3KC-01,11,63182711,68266785,5084074
TCGA-A2-A3KC-01,11,68281775,69329674,1047899
TCGA-A2-A3KC-01,11,69332260,70195978,863718
TCGA-A2-A3KC-01,11,70197358,70389069,191711
TCGA-A2-A3KC-01,11,70391716,70639849,248133
TCGA-A2-A3KC-01,11,70642820,71660392,1017572
TCGA-A2-A3KC-01,11,71663389,73556193,1892804
TCGA-A2-A3KC-01,11,73563028,73740718,177690
TCGA-A2-A3KC-01,11,73741354,75107336,1365982
TCGA-A2-A3KC-01,11,75112328,76099527,987199
TCGA-A2-A3KC-01,11,76099806,76100197,391
TCGA-A2-A3KC-01,11,76104519,76181631,77112
TCGA-A2-A3KC-01,11,76190366,81336657,5146291
TCGA-A2-A3KC-01,11,81339041,134142530,52803489
TCGA-A2-A3KC-01,12,889902,120760887,119870985
TCGA-A2-A3KC-01,12,120762765,122678607,1915842
TCGA-A2-A3KC-01,12,122686838,133161346,10474508
TCGA-A2-A3KC-01,13,19450806,114987458,95536652
TCGA-A2-A3KC-01,14,20501368,105988038,85486670
TCGA-A2-A3KC-01,15,23687685,101884307,78196622
TCGA-A2-A3KC-01,16,653459,31850299,31196840
TCGA-A2-A3KC-01,16,46507665,79589827,33082162
TCGA-A2-A3KC-01,16,79595556,79595961,405
TCGA-A2-A3KC-01,16,79596437,89379936,9783499
TCGA-A2-A3KC-01,17,987221,80917016,79929795
TCGA-A2-A3KC-01,18,329586,77109240,76779654
TCGA-A2-A3KC-01,19,284018,58878226,58594208
TCGA-A2-A3KC-01,20,455764,62219837,61764073
TCGA-A2-A3KC-01,21,15347621,47678774,32331153
TCGA-A2-A3KC-01,22,17423930,49331012,31907082
TCGA-A2-A3KC-01,23,3157107,154905589,151748482
TCGA-A2-A3KD-01,1,3218610,120527361,117308751
TCGA-A2-A3KD-01,1,149881398,247813706,97932308
TCGA-A2-A3KD-01,2,484222,242476062,241991840
TCGA-A2-A3KD-01,3,2212571,197538677,195326106
TCGA-A2-A3KD-01,4,1053934,106479010,105425076
TCGA-A2-A3KD-01,4,106479192,106480598,1406
TCGA-A2-A3KD-01,4,106481673,188763651,82281978
TCGA-A2-A3KD-01,5,914233,15021925,14107692
TCGA-A2-A3KD-01,5,15023613,15024106,493
TCGA-A2-A3KD-01,5,15024294,16097163,1072869
TCGA-A2-A3KD-01,5,16097325,16103315,5990
TCGA-A2-A3KD-01,5,16108127,180360469,164252342
TCGA-A2-A3KD-01,6,1014281,2572091,1557810
TCGA-A2-A3KD-01,6,2572201,2575857,3656
TCGA-A2-A3KD-01,6,2575907,55162885,52586978
TCGA-A2-A3KD-01,6,55166285,56181881,1015596
TCGA-A2-A3KD-01,6,56182568,56193756,11188
TCGA-A2-A3KD-01,6,56194264,56828449,634185
TCGA-A2-A3KD-01,6,56837245,56838169,924
TCGA-A2-A3KD-01,6,56839163,64724211,7885048
TCGA-A2-A3KD-01,6,64725073,65007530,282457
TCGA-A2-A3KD-01,6,65020471,65123141,102670
TCGA-A2-A3KD-01,6,65130113,65821993,691880
TCGA-A2-A3KD-01,6,65923117,67297893,1374776
TCGA-A2-A3KD-01,6,67304324,67480807,176483
TCGA-A2-A3KD-01,6,67481347,117321139,49839792
TCGA-A2-A3KD-01,6,117322088,117498082,175994
TCGA-A2-A3KD-01,6,117572603,119783000,2210397
TCGA-A2-A3KD-01,6,119787115,119928027,140912
TCGA-A2-A3KD-01,6,119930874,127004940,7074066
TCGA-A2-A3KD-01,6,127005758,127135132,129374
TCGA-A2-A3KD-01,6,127136222,127396148,259926
TCGA-A2-A3KD-01,6,127397240,135051407,7654167
TCGA-A2-A3KD-01,6,135053168,135053245,77
TCGA-A2-A3KD-01,6,135053597,152260837,17207240
TCGA-A2-A3KD-01,6,152265440,170903919,18638479
TCGA-A2-A3KD-01,7,705284,25776220,25070936
TCGA-A2-A3KD-01,7,25781648,25783037,1389
TCGA-A2-A3KD-01,7,25783071,158385118,132602047
TCGA-A2-A3KD-01,8,617667,618552,885
TCGA-A2-A3KD-01,8,622980,1215166,592186
TCGA-A2-A3KD-01,8,1215445,1218596,3151
TCGA-A2-A3KD-01,8,1220024,2113792,893768
TCGA-A2-A3KD-01,8,2707196,3208655,501459
TCGA-A2-A3KD-01,8,3209173,62420978,59211805
TCGA-A2-A3KD-01,8,62423960,70952739,8528779
TCGA-A2-A3KD-01,8,70953927,70961304,7377
TCGA-A2-A3KD-01,8,70961429,145232496,74271067
TCGA-A2-A3KD-01,9,789932,140938752,140148820
TCGA-A2-A3KD-01,10,415240,92774918,92359678
TCGA-A2-A3KD-01,10,92775880,92777353,1473
TCGA-A2-A3KD-01,10,92778715,114492656,21713941
TCGA-A2-A3KD-01,10,114492742,114492898,156
TCGA-A2-A3KD-01,10,114498145,129711974,15213829
TCGA-A2-A3KD-01,10,129714885,129771202,56317
TCGA-A2-A3KD-01,10,129771903,135225087,5453184
TCGA-A2-A3KD-01,11,456120,77431240,76975120
TCGA-A2-A3KD-01,11,77435831,134142530,56706699
